"","division","season","year","sex","cw","mature","ncrab","tows","ncrabS","npt","nptS"
"83","2HJ","Fall",1995,1,78,"Mat",3,116,5.86633447726523,0.0258620689655172,0.0505718489419417
"84","2HJ","Fall",1995,1,79,"Imm",2,116,3.89266166111395,0.0172413793103448,0.0335574281130513
"85","2HJ","Fall",1995,1,79,"Mat",1,116,1.94633083055697,0.00862068965517241,0.0167787140565256
"86","2HJ","Fall",1995,1,80,"Imm",4,116,7.74926615970232,0.0344827586206897,0.0668040186181234
"87","2HJ","Fall",1995,1,80,"Mat",1,116,1.93731653992558,0.00862068965517241,0.0167010046545309
"88","2HJ","Fall",1995,1,81,"Imm",1,116,1.92840086312073,0.00862068965517241,0.0166241453717304
"89","2HJ","Fall",1995,1,81,"Mat",2,116,3.85680172624146,0.0172413793103448,0.0332482907434609
"90","2HJ","Fall",1995,1,81,"Unk",1,116,1.92840086312073,0.00862068965517241,0.0166241453717304
"91","2HJ","Fall",1995,1,82,"Imm",4,116,7.67833088533862,0.0344827586206897,0.0661925076322295
"92","2HJ","Fall",1995,1,82,"Mat",4,116,7.67833088533862,0.0344827586206897,0.0661925076322295
"93","2HJ","Fall",1995,1,83,"Imm",6,116,11.4651662853686,0.0517241379310345,0.0988376403911089
"94","2HJ","Fall",1995,1,83,"Mat",3,116,5.73258314268431,0.0258620689655172,0.0494188201955544
"95","2HJ","Fall",1995,1,83,"Unk",1,116,1.91086104756144,0.00862068965517241,0.0164729400651848
"96","2HJ","Fall",1995,1,84,"Imm",4,116,7.60893914587165,0.0344827586206897,0.0655943029816522
"97","2HJ","Fall",1995,1,84,"Mat",2,116,3.80446957293583,0.0172413793103448,0.0327971514908261
"98","2HJ","Fall",1995,1,84,"Unk",1,116,1.90223478646791,0.00862068965517241,0.016398575745413
"99","2HJ","Fall",1995,1,85,"Imm",6,116,11.3622173655958,0.0517241379310345,0.0979501497034118
"100","2HJ","Fall",1995,1,85,"Mat",2,116,3.78740578853192,0.0172413793103448,0.0326500499011373
"101","2HJ","Fall",1995,1,86,"Imm",5,116,9.42632169293109,0.0431034482758621,0.0812613939045784
"102","2HJ","Fall",1995,1,86,"Mat",3,116,5.65579301575866,0.0258620689655172,0.048756836342747
